firstName|lastName|positionType|destination
Darwin|Barlow|Offense|USC
Ishmael|Sopsher|Defense|USC
Jake|Smith|Offense|USC
K.D.|Nixon|Offense|USC
Keaontay|Ingram|Offense|USC
Malcolm|Epps|Offense|USC
Tahj|Washington|Offense|USC
Xavion|Alford|Defense|USC
Brandon|McKinney|Defense|Utah
Charlie|Brewer|UNK|Utah
Ja'Quinden|Jackson|UNK|Utah
Jaylen|Dixon|Offense|Utah
Josh|Calvert|Defense|Utah
Munir|McClain|Offense|Utah
T.J.|Pledger|Offense|Utah
Theo|Howard|Offense|Utah
Brandon|Bowling|Offense|Utah State
Byron|Vaughns|Defense|Utah State
Calvin|Tyler|Offense|Utah State
Deven|Thompkins|Offense|Utah State
Jahaziel|Lee|Offense|Utah State
Jamie|Nance|Offense|Utah State
Kyle|Mayberry|Defense|Utah State
Logan|Bonner|Offense|Utah State
Maisen|Knight|Offense|Utah State
Patrick|Joyner|Defense|Utah State
Quazzel|White|Defense|Utah State
Tobias|Gilliam|Defense|Utah State
Dennis|Barnes|Defense|UTEP
Dyvonne|Inyang|Defense|UTEP
Nick|Ast|Offense|UTEP
Walter|Neil|Defense|UTEP
Brandon|Brown|Defense|UT San Antonio
Cameron|Wilkins|Defense|UT San Antonio
Clifford|Chattman|Defense|UT San Antonio
Denzel|Feaster|Defense|UT San Antonio
Dru|Prox|Defense|UT San Antonio
Kennedy|Lewis|Offense|UT San Antonio
Lamonte|McDougle|Defense|UT San Antonio
Ronald|Triplette|Defense|UT San Antonio
Tre'Von|Bradley|Offense|UT San Antonio
Jack|Cardillo|Special|Vanderbilt
Joseph|Bulovas|Special|Vanderbilt
Junior|Uzebu|Offense|Vanderbilt
Re'Mahn|Davis|Offense|Vanderbilt
Wilson|Long|Offense|Vanderbilt
Anthony|Johnson|Defense|Virginia
Artie|Henry III|Offense|Virginia
Chico|Bennett Jr.|Defense|Virginia
Devin|Darrington|Offense|Virginia
Jelani|Woods|Offense|Virginia
Joshua|Hayes|Defense|Virginia
C.J.|McCray|Defense|Virginia Tech
Connor|Blumrick|UNK|Virginia Tech
Jared|Cole|Offense|Virginia Tech
Johnny|Jordan|Offense|Virginia Tech
Jordan|Williams|Defense|Virginia Tech
Tae|Daley|Defense|Virginia Tech
Will|Ross|Special|Virginia Tech
Casey|Washington|Offense|Wake Forest
Christian|Turner|Offense|Wake Forest
KJ|Trujillo|Defense|Wake Forest
Kevin|Pointer|Defense|Wake Forest
Luiji|Vilain|Defense|Wake Forest
Malik|Mustapha|Defense|Wake Forest
Brendan|Radley-Hiles|Defense|Washington
Giles|Jackson|Offense|Washington
Jeremiah|Martin|Defense|Washington
Patrick|O'Brien|UNK|Washington
Ben|Wilson|Defense|Washington State
Jarrett|Guarantano|UNK|Washington State
Jasiah|Richard-Lewis|Offense|Washington State
Kaleb|Ford-Dement|Defense|Washington State
Lincoln|Victor|Offense|Washington State
Nakia|Watson|Offense|Washington State
Tyrone|Hill Jr.|Defense|Washington State
Adam|Cofield|Offense|Western Kentucky
Bailey|Zappe|UNK|Western Kentucky
Ben|Ratzlaff|Offense|Western Kentucky
Boe|Wilson|Defense|Western Kentucky
Cameron|Stage|Defense|Western Kentucky
Daewood|Davis|Offense|Western Kentucky
Dane|Saltarelli|Offense|Western Kentucky
Davion|Williams|Defense|Western Kentucky
DeAngelo|Wilson|Offense|Western Kentucky
Jamale|Carothers|Offense|Western Kentucky
Jerreth|Sterns|Offense|Western Kentucky
Josh|Sterns|Offense|Western Kentucky
Kyle|McNamara|Offense|Western Kentucky
Matthew|Flint|Defense|Western Kentucky
Michael|Allen|Defense|Western Kentucky
Michael|Pitts|Defense|Western Kentucky
Niko|Cooper|Defense|Western Kentucky
Tre|Shaw|Defense|Western Kentucky
Zac|Lefebvre|Offense|Western Kentucky
Hozey|Haji-Badri|Defense|Western Michigan
Darel|Middleton|Defense|West Virginia
Doug|Nester|Offense|West Virginia
Chez|Mellusi|Offense|Wisconsin
Isaac|Townsend|Defense|Wisconsin
Keshaun|Taylor|Defense|Wyoming
