firstName|lastName|positionType|destination
Linwood|Crump|Defense|Colorado State
Mike|Ciaffoni|Defense|Colorado State
Trey|McBride|Offense|Colorado State
Vince|Picozzi|Defense|Colorado State
Robert|Burns|Offense|Connecticut
Valentin|Senn|Offense|Connecticut
Brian|Foley|Offense|Duke
Carson|Van Lynn|Offense|Duke
Colby|Campbell|Defense|Duke
Dominique|Long|Defense|Duke
Ja'Mion|Franklin|Defense|Duke
Jack|Driggers|Special|Duke
Kade|Parmelly|Defense|Duke
Scott|Boylan|Offense|Duke
Aaron|Jarman|Offense|East Carolina
D.J.|Ford|Defense|East Carolina
Devon|King|Defense|East Carolina
G'Mone|Wilson|Offense|East Carolina
Jasiyah|Robinson|Defense|East Carolina
Jhari|Patterson|Offense|East Carolina
Ray|Rose|Offense|East Carolina
Rob|Vanderlaan|Offense|East Carolina
Ryan|Jones|Defense|East Carolina
Tyree|Saunders|Offense|East Carolina
Wistar|Allen|Defense|East Carolina
Ben|Bryant|Offense|Eastern Michigan
Dexter|Manior|Offense|Eastern Michigan
Jawon|Hamilton|Offense|Eastern Michigan
Antonio|Valentino|Defense|Florida
Daquan|Newkirk|Defense|Florida
Demarkcus|Bowman|Offense|Florida
Elijah|Blades|Defense|Florida
Jace|Christmann|Special|Florida
Jadarrius|Perkins|Defense|Florida
Kaleb|Boateng|Offense|Florida
Alvin|Dempsey|Defense|Florida Atlantic
Andrew|Boselli|Defense|Florida Atlantic
John|Dunmore|Offense|Florida Atlantic
Johnny|Ford|Offense|Florida Atlantic
Kamaar|Bell|Defense|Florida Atlantic
Keyshawn|Greene|Defense|Florida Atlantic
N'Kosi|Perry|Offense|Florida Atlantic
Andrew|Parchment|Offense|Florida State
Brandon|Moore|Defense|Florida State
Cortez|Andrews|Defense|Florida State
D.J.|Williams|Offense|Florida State
Dillan|Gibbons|Defense|Florida State
Jammie|Robinson|Defense|Florida State
Jarques|McClellion|Defense|Florida State
Jermaine|Johnson|Defense|Florida State
Joe|Lang|Defense|Florida State
Keir|Thomas|Defense|Florida State
Marcus|Cushnie|Defense|Florida State
McKenzie|Milton|UNK|Florida State
Daron|Bland|Defense|Fresno State
Elijah|Gates|Defense|Fresno State
Evan|Bennett|Defense|Fresno State
Isaac|Garcia|Defense|Fresno State
Jalen|Guerrero|Offense|Fresno State
Jordan|Wilmore|Offense|Fresno State
Ryan|Boehm|Defense|Fresno State
Ty|Jones|Offense|Fresno State
Arik|Gilbert|Offense|Georgia
Derion|Kendrick|Defense|Georgia
Tykee|Smith|Defense|Georgia
Amare|Jones|Offense|Georgia Southern
Andrew|Johnson|Defense|Georgia Southern
James|Graham|Offense|Georgia Southern
Khadry|Jackson|Defense|Georgia Southern
Darren|Grainger|UNK|Georgia State
Ja'Cyais|Credle|Offense|Georgia State
Shamar|McCollum|Defense|Georgia State
Ayinde|Eley|Defense|Georgia Tech
Brent|Cimaglia|Special|Georgia Tech
Keion|White|Defense|Georgia Tech
Kenneth|Kirby|Offense|Georgia Tech
Kenyatta|Watson II|Defense|Georgia Tech
Kevin|Harris|Defense|Georgia Tech
Kyric|McGowan|Offense|Georgia Tech
Makius|Scott|Defense|Georgia Tech
Nick|Pendley|Offense|Georgia Tech
Trad|Beatty|Offense|Georgia Tech
Arnold|Azunna|Defense|Hawai'i
Colby|Burton|Defense|Hawai'i
Kolby|Wyatt|Offense|Hawai'i
Pita|Tonga|Defense|Hawai'i
Solomon|Turner|Defense|Hawai'i
Zacchaeus|McKinney|Defense|Hawai'i
Alex|Hogan|Defense|Houston
Ja'Lynn|Polk|Offense|Houston
Jaylen|Erwin|Offense|Houston
Jeremy|Singleton|Offense|Houston
Justin|Beadles|Defense|Houston
KeSean|Carter|Offense|Houston
Kody|Russey|Defense|Houston
Latrell|Bankston|Defense|Houston
Seth|Green|Offense|Houston
Tre|Williams|Defense|Houston
Alec|Bryant|Defense|Illinois
Artur|Sitkowski|Offense|Illinois
CJ|Hart|Defense|Illinois
Chase|Hayden|Offense|Illinois
Eddie|Smith|Defense|Illinois
